,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
22716,XP_036833139.1,8.739154118,0.001817555,1.55906585,99,0.54768451,0.261469542
22717,XP_036833158.1,9.280250698,0.01592603,0.774049133,8.746053538,0.553587986,0.256813344
22718,XP_036833160.1,9.692397312,0.057516607,0.660319666,2.472210606,0.039065232,1.408209592
22719,XP_036833166.1,7.884674244,0.059771892,0.757853284,7.30270199,0.460067988,0.337177984
22720,XP_036833169.1,5.731085935,0.016291588,0.759992755,7.979677223,0.501063615,0.300107133
22721,XP_036833178.1,5.844628823,0.003431887,1.010354128,99,0.384139038,0.415511556
22722,XP_036833179.1,8.659179478,0.002451115,1.011887275,99,0.385074897,0.414454792
22723,XP_036833191.1,8.895271339,0.002317176,1.047019542,99,0.380419202,0.41973757
22724,XP_036833195.1,6.767062893,0.132813773,0.706361279,4.254673405,0.200062688,0.6988339
22725,XP_036833203.1,7.041530961,0.004672573,0.664440705,99,0.332240668,0.478547209
22726,XP_036833204.1,7.346238312,0.035010752,0.775601734,8.988072717,0.567211603,0.246254894
22727,XP_036833221.1,6.869436247,0.005622855,1.196940483,99,0.411971409,0.385132923
22728,XP_036833225.1,8.090104756,0.006837395,1.413163025,99,0.504644126,0.297014778
22729,XP_036833239.1,8.301837318,0.005687291,1.391124088,99,0.480576634,0.318237349
22730,XP_036833252.1,7.770535902,0.11403924,0.718221647,4.840064994,0.256161965,0.591485354
22731,XP_036833257.1,7.166463805,0.002909011,1.679096423,99,0.650659342,0.18664633
22732,XP_036833267.1,6.68393081,0.076735367,0.810945154,11.02602817,0.681513252,0.166525695
22733,XP_036833269.1,7.05298071,0.025220944,0.740763009,6.784930373,0.411893132,0.38521545
22734,XP_036833275.1,6.513165049,0.005304299,1.507706177,99,0.553236737,0.257088989
22735,XP_036833287.1,6.152473225,0.047682687,0.715589726,5.171433917,0.275560091,0.55978368
22736,XP_036833294.1,7.295851773,0.000700939,0.377588272,99,0.305217178,0.515391027
22737,XP_036833299.1,7.31929196,0.090988795,0.72311799,5.078003119,0.278833034,0.554655776
22738,XP_036833309.1,7.501730334,0.020782114,0.929376904,17.42880187,0.908325995,0.041758257
22739,XP_036833313.1,6.691818552,0.092129252,0.7057967,4.259510745,0.199599691,0.699840135
22740,XP_036833317.1,9.177614183,0.001373419,1.700595854,99,0.663696812,0.178030268
22741,XP_036833318.1,8.07555822,0.002901201,0.747155439,99,0.337953899,0.471142539
22742,XP_036833325.1,8.012965546,0.018365391,0.906388698,15.46828841,0.857458232,0.066787026
22743,XP_036833335.1,6.170596981,0.001197107,0.439252056,99,0.311550462,0.5064716
22744,XP_036833345.1,6.549434705,0.004902034,1.177025029,99,0.418321733,0.378489572
22745,XP_036833352.1,6.170213354,0.001937559,0.722878734,99,0.337752552,0.471401361
22746,XP_036833354.1,11.11382412,0.011427296,0.870065142,14.34570588,0.818296647,0.087089228
22747,XP_036833363.1,7.97404703,0.011336966,1.003458808,21.92494006,0.998271313,0.000751409
22748,XP_036833366.1,8.87069671,0.00198034,0.69224863,99,0.33549313,0.474316369
22749,XP_036833370.1,6.796027915,0.005880168,1.748342681,99,0.666815594,0.175994252
22750,XP_036833381.1,7.281552099,0.06388396,0.752464376,6.587876247,0.411848687,0.385262314
22751,XP_036833395.1,6.043691672,0.03576347,0.548476805,99,0.321206171,0.49321612
22752,XP_036833397.1,8.199552819,0.002338505,0.746666949,99,0.341609497,0.466470064
22753,XP_036833403.1,7.376319931,0.003314158,0.75646283,99,0.342789312,0.464972728
22754,XP_036833404.1,5.698219123,0.005624881,1.74625507,99,0.674222507,0.171196754
22755,XP_036833406.1,7.83833064,0.002423465,1.223117051,99,0.438016168,0.358509859
22756,XP_036833410.1,9.801961341,0.013837802,0.833961461,12.00733583,0.729659146,0.136879969
22757,XP_036833411.1,8.310119654,0.012636417,0.80641396,10.96162416,0.676588804,0.169675193
22758,XP_036833415.1,6.967454775,0.040605487,0.743296067,6.660987999,0.406613376,0.390818339
22759,XP_036833420.1,6.028768063,0.001420448,0.571868988,99,0.323513682,0.490107347
22760,XP_036833423.1,5.818595361,0.00900302,1.034295672,26.6103125,0.934998038,0.0291893
22761,XP_036833427.1,8.480598373,0.001286646,0.694647148,99,0.333317046,0.477142476
22762,XP_036833434.1,6.842118213,0.001288129,0.300862196,99,0.301620005,0.520539857
22763,XP_036833441.1,6.159341834,0.014013405,0.99583186,24.4827561,0.962034996,0.016809129
22764,XP_036833445.1,7.355125087,0.004562452,1.149531276,99,0.409458945,0.387789637
22765,XP_036833446.1,6.643973366,0.002416178,0.39672642,99,0.306678824,0.513316211
22766,XP_036833449.1,7.247491024,0.006705319,1.25450969,47.33062463,0.78642359,0.104343468
22767,XP_036833450.1,7.441392374,0.044511793,0.725973563,5.979023292,0.343433322,0.464157569
22768,XP_036833465.1,6.66978448,0.011660135,1.649220312,99,0.649308262,0.187549071
22769,XP_036833471.1,6.249122865,0.081002942,0.67715323,3.088846025,0.086860085,1.06117975
22770,XP_036833480.1,5.40944417,0.029439083,1.643052733,99,0.628363033,0.201789373
22771,XP_036833485.1,6.780406677,0.020425848,0.95069984,99,0.373787817,0.427374858
22772,XP_036833486.1,8.292500205,0.001874292,0.831624624,99,0.352333892,0.453045579
22773,XP_036833492.1,7.532790763,0.175923151,0.784135446,8.793407068,0.563291018,0.249267174
22774,XP_036833495.1,7.031609905,0.049277345,0.89146206,14.70210535,0.833648608,0.079016971
22775,XP_036833504.1,5.821158988,0.018034025,1.171471057,39.54307319,0.824809167,0.083646521
22776,XP_036833506.1,6.807223809,0.009502257,1.484892352,99,0.532772666,0.273458065
22777,XP_036833529.1,8.453101022,0.001901833,0.905715468,99,0.362341872,0.440881476
22778,XP_036833531.1,6.328345668,0.01046815,1.390484789,61.21543426,0.741451228,0.129917411
22779,XP_036833532.1,6.437986786,0.007442505,0.363503666,99,0.30495671,0.515761806
22780,XP_036833533.1,7.103621095,0.024422655,1.053969746,25.56199834,0.949798724,0.022368418
22781,XP_036833538.1,9.574328946,0.001291601,0.883115617,99,0.359813039,0.443923103
22782,XP_036833540.1,10.41672038,0.188198162,0.690060078,3.536984829,0.130259919,0.885189196
22783,XP_036833546.1,7.647620713,0.027890821,0.666812865,2.796886476,0.059975468,1.222026354
22784,XP_036833550.1,6.334423058,0.027822728,0.798560964,9.377460334,0.601849023,0.22051244
22785,XP_036833553.1,8.335372233,0.002385189,1.481557038,99,0.518571795,0.285191108
22786,XP_036833564.1,5.979205424,0.035464083,0.932683287,17.53272384,0.910978627,0.040491812
22787,XP_036833566.1,6.025060615,0.002525688,1.260746138,99,0.440068205,0.356480008
22788,XP_036833569.1,5.951057419,0.014199624,0.946897414,18.74832178,0.938273804,0.027670409
22789,XP_036833570.1,7.288644836,0.003630729,1.42887068,99,0.480496716,0.318309576
22790,XP_036833571.1,7.192431197,0.003798545,1.373613475,99,0.482996534,0.316055986
22791,XP_036833572.1,6.121888919,0.014072016,0.991013436,23.18061436,0.981601047,0.008064987
22792,XP_036833573.1,5.76371696,0.01489559,0.707609732,99,0.337307943,0.471973432
22793,XP_036833575.1,6.413193233,0.003999845,1.327155054,99,0.46225779,0.335115761
22794,XP_036833577.1,6.890415258,0.029668833,1.023813343,23.24010691,0.981354255,0.00817419
22795,XP_036833580.1,7.96530231,0.00520393,1.609121785,99,0.588538809,0.230224894
22796,XP_036833586.1,7.560894021,0.006797199,1.172998828,99,0.407331707,0.390051783
22797,XP_036833594.1,10.26082789,0.008348762,1.706587368,99,0.680504303,0.167169124
22798,XP_036833601.1,7.568495293,0.039414455,0.737386115,6.823618179,0.411062374,0.386092274
22799,XP_036833608.1,6.97195647,0.02901698,0.7982372,8.99437825,0.583572265,0.233905357
22800,XP_036833612.1,6.02562935,0.0101778,1.291949196,44.53153613,0.808439907,0.092352257
22801,XP_036833627.1,8.62440082,0.016065723,0.804023167,9.393883031,0.606308846,0.217306095
22802,XP_036833630.1,6.93247678,0.007645983,1.690274932,99,0.658809019,0.181240464
