,Protein,theta,sigma2,alpha,beta,pvalue,Expression_divergence
1,NP_001117651.1,5.848987543,0.007595051,0.715272548,99,0.334495072,0.475610276
2,NP_001117654.1,7.63616119,0.008104908,1.144184027,99,0.404165786,0.393440454
3,NP_001117661.1,7.890894249,0.046093159,0.859041514,12.71554567,0.763895793,0.116965882
4,NP_001117693.1,7.605327706,0.333713174,0.654142265,2.107091179,0.021424442,1.66909048
5,NP_001117703.1,11.25452484,0.001266747,0.398839243,99,0.306941904,0.512943817
6,NP_001117705.1,9.925736731,0.041246028,0.702583741,4.791193512,0.232630526,0.633333297
7,NP_001117706.1,7.489977223,0.018424553,1.297564291,99,0.462045322,0.335315422
8,NP_001117721.1,5.628794626,0.005055385,1.70496402,99,0.66066238,0.180020422
9,NP_001117730.1,7.258937355,0.0929709,0.715550166,5.235527796,0.279988133,0.552860375
10,NP_001117734.1,7.221906089,0.059849462,0.750715134,7.519854693,0.466451338,0.331193657
11,NP_001117765.1,8.991133758,0.26779783,0.673682513,2.902244483,0.072699592,1.138468026
12,NP_001117767.1,6.110273028,0.011193397,1.737419854,99,0.667053285,0.175839473
13,NP_001117781.1,6.239262244,0.040211224,0.772104747,8.345690366,0.530932737,0.274960495
14,NP_001117797.1,6.674065352,0.002040287,0.428604372,99,0.309070235,0.509942818
15,NP_001117801.1,8.589176979,0.007991467,1.582493529,99,0.562958036,0.249523977
16,NP_001117818.1,5.46982058,0.103221985,0.723271366,5.597056482,0.314276369,0.502688273
17,NP_001117820.1,6.30055569,0.004782413,0.733269573,99,0.339181175,0.46956826
18,NP_001117822.1,11.75545664,0.086106699,0.654076014,2.01455177,0.018691386,1.728358494
19,NP_001117830.1,7.991790113,0.013015156,1.59075355,99,0.549148576,0.260310138
20,NP_001117835.1,6.97375478,0.002180496,0.770820891,99,0.340644365,0.467698791
21,NP_001117836.1,10.06659197,0.002672271,1.130956178,99,0.409712564,0.387520718
22,NP_001117842.1,6.942578987,0.015232166,1.169398673,99,0.409774602,0.387454963
23,NP_001117847.1,5.527983798,0.080374408,0.693622742,4.298292927,0.186397115,0.729560814
24,NP_001117848.1,5.486818211,0.094205862,0.810046131,10.76212372,0.669959135,0.173951687
25,NP_001117849.1,6.362914348,0.052803999,0.944055233,17.7043601,0.916101806,0.038056261
26,NP_001117850.1,7.512702095,0.009457301,1.49994273,99,0.539447565,0.268050763
27,NP_001117869.1,6.026183951,0.019243189,0.69526017,99,0.33399492,0.476260139
28,NP_001117888.2,7.517456059,0.006638372,1.146782646,99,0.402532491,0.395199059
29,NP_001117893.1,6.703549627,0.004543564,1.002121929,99,0.374705243,0.42631023
30,NP_001117928.1,14.70588648,0.070579339,0.701655202,4.632748655,0.220161244,0.657259129
31,NP_001117938.1,5.578930408,0.00618991,1.605659857,99,0.56120385,0.250879358
32,NP_001117944.1,10.21163098,0.005475236,1.205601496,99,0.422495383,0.374178033
33,NP_001117945.1,10.66567223,0.00149106,1.366363528,99,0.47119917,0.326795483
34,NP_001117950.1,8.500309071,0.007191966,1.568053457,99,0.588273427,0.230420769
35,NP_001117953.1,6.259723056,0.003479392,0.73507593,99,0.340909974,0.467360292
36,NP_001117954.1,8.587844088,0.065919137,0.876132747,14.02956722,0.810513784,0.091239595
37,NP_001117962.1,8.299375556,0.006025497,0.986983776,99,0.370263173,0.431489481
38,NP_001117963.1,8.484110993,0.073416711,0.802182677,10.5302814,0.656055493,0.183059424
39,NP_001117964.1,6.507614238,0.040283085,0.751228127,6.857405355,0.426937223,0.369635979
40,NP_001117966.1,6.740398603,0.175450533,0.734530209,6.558034627,0.391043275,0.407775179
41,NP_001117971.1,6.955934927,0.011479313,0.990426696,22.18520073,0.99747619,0.001097462
42,NP_001117973.1,8.409535423,0.005020793,1.703142377,99,0.637668019,0.195405364
43,NP_001117980.1,8.564865601,0.003923369,0.942183734,99,0.372344054,0.429055577
44,NP_001117983.1,9.851836838,0.021223323,0.927798488,17.90262991,0.918673413,0.036838852
45,NP_001117992.1,8.729257303,0.021667666,1.656702571,99,0.594033668,0.22618894
46,NP_001117996.1,9.337094698,0.008740344,1.123663455,99,0.396016262,0.40228698
47,NP_001118003.1,5.550020918,0.002120776,0.769131997,99,0.341705564,0.46634795
48,NP_001118011.1,5.839964321,0.100054668,0.655148984,2.099228188,0.021825329,1.661039201
49,NP_001118043.1,6.254967122,0.03655706,0.790960333,8.623450808,0.560055489,0.251768942
50,NP_001118061.1,8.76521715,0.007910748,1.277802103,99,0.454630059,0.342341853
51,NP_001118075.1,8.557337778,0.027445041,1.199647139,37.26548832,0.845745911,0.072760093
52,NP_001118078.1,6.311482178,0.102522383,0.753314419,7.091269529,0.443166638,0.353432941
53,NP_001118080.1,7.752838563,0.009949855,1.131537964,99,0.400722864,0.397155877
54,NP_001118082.2,5.813927535,0.07072569,0.769868937,8.799436516,0.553444865,0.256925638
55,NP_001118089.1,6.251066665,0.008432804,1.655431042,99,0.642142984,0.192368258
56,NP_001118095.1,5.361146848,0.199370057,0.641596127,1.463689572,0.003693211,2.43259588
57,NP_001118100.1,8.369546074,0.00125098,0.808257103,99,0.34554232,0.461498755
58,NP_001118106.1,6.696989903,0.036539207,0.888821549,14.32649152,0.822514277,0.084856555
59,NP_001118108.1,7.165588272,0.004046637,1.568477583,99,0.537351806,0.269741287
60,NP_001118126.1,6.40169057,0.044485664,0.935000153,20.07418735,0.964010578,0.015918201
61,NP_001118127.1,7.52060763,0.006493687,1.009524174,99,0.384754272,0.414816549
62,NP_001118144.1,5.762163636,0.004880272,1.324461385,99,0.452725975,0.344164587
63,NP_001118146.1,7.585489279,0.005203106,0.806485648,99,0.349152294,0.4569851
64,NP_001118163.1,6.075713044,0.014287537,1.532608472,99,0.525035064,0.279811692
65,NP_001118167.1,5.866018274,0.016667476,1.436126403,62.8397522,0.742088483,0.129544308
66,NP_001118187.1,10.5256866,0.06931142,0.864145592,13.34124936,0.785881515,0.104642926
67,NP_001118193.1,5.70766788,0.027050159,1.505715434,99,0.535469648,0.271265141
68,NP_001118202.1,9.271354422,0.021254101,0.739150928,6.650188011,0.401686915,0.396112315
69,NP_001118203.1,7.751293587,0.077010333,0.746237008,6.549021887,0.402692094,0.395026897
70,NP_001118207.1,10.44407333,0.248661025,0.655514534,2.112647361,0.022443247,1.648914311
71,NP_001118215.1,5.847524174,0.068994671,0.839978199,12.57389885,0.752237072,0.123645267
72,NP_001118216.1,5.7548943,0.021590977,1.12921976,31.73737392,0.885763949,0.052682
73,NP_001118218.1,8.688186997,0.00494464,1.303844535,99,0.442288717,0.35429414
74,NP_001118221.1,7.688025404,0.008441177,1.446985718,99,0.486734642,0.312707743
75,NP_001118225.1,5.856715156,0.010982887,1.171371847,34.20658215,0.867635897,0.061662488
76,NP_001123454.1,7.873135998,0.010570293,0.890420849,16.30206034,0.876085035,0.057453738
77,NP_001123460.1,7.42227777,0.006780657,1.397389773,99,0.476261991,0.322154077
78,NP_001129167.1,7.34416049,0.016420492,1.713638789,99,0.623175627,0.205389541
79,NP_001139638.1,5.550341254,0.11868535,0.686345958,3.827278499,0.144644823,0.839697106
80,NP_001153784.1,6.504268558,0.009924612,1.35119641,53.36455616,0.769481335,0.11380191
81,NP_001153948.1,5.558604617,0.003537377,1.005962419,99,0.379946264,0.420277822
82,NP_001153949.1,5.641739306,0.03907187,0.681130883,3.558035218,0.120422504,0.919292347
83,NP_001153996.1,7.15319921,0.00219795,0.422209476,99,0.308804443,0.51031646
84,NP_001154007.1,6.505519588,0.004931355,1.002193697,99,0.380530555,0.419610465
85,NP_001154008.1,7.476760152,0.006663988,0.793513915,99,0.347697384,0.458798577
86,NP_001154026.1,6.601260479,0.011777976,0.787097231,9.706239825,0.610103809,0.214596264
87,NP_001154028.1,8.22471811,0.003060694,1.245255919,99,0.444457999,0.352169273
88,NP_001154029.1,8.286614233,0.001502293,0.635371315,99,0.32627328,0.486418491
89,NP_001154037.1,11.19345206,0.004823095,1.420462134,99,0.476550845,0.321890756
90,NP_001154041.1,6.725154928,0.043825581,0.833467902,12.89399067,0.761235413,0.118481016
91,NP_001154046.1,5.769009155,0.008500782,1.632530558,99,0.63564652,0.196784326
92,NP_001154073.1,9.204591717,0.003647712,0.912425907,99,0.360778546,0.442759296
93,NP_001154079.1,6.101380714,0.019422278,0.852859475,14.16122494,0.808460056,0.092341433
94,NP_001154080.1,6.034214885,0.004748563,1.733127679,99,0.668515237,0.17488869
95,NP_001154091.1,7.042426765,0.006147817,0.982481898,99,0.377774757,0.422767065
96,NP_001154102.1,7.326792946,0.00810578,1.617727194,99,0.565771957,0.247358583
97,NP_001154111.1,9.306159087,0.004263683,1.332057951,99,0.473248717,0.324910555
98,NP_001154115.1,7.974251011,0.005356662,0.576576615,99,0.321037681,0.49344399
99,NP_001154116.1,7.370015813,0.007368803,1.542045121,99,0.558801147,0.252742711
100,NP_001154122.1,7.528651074,0.08225572,0.728289808,5.473299274,0.312050332,0.505775351
101,NP_001154124.1,11.22620466,0.011047031,1.085783088,30.59528552,0.89297016,0.049163054
102,NP_001154132.1,6.250891958,0.002408597,0.458255778,99,0.312676368,0.504904941
103,NP_001154135.1,11.73242684,0.009176167,1.038251023,27.99360462,0.918119788,0.037100652
104,NP_001154159.1,8.174535474,0.004655129,1.608841646,99,0.58383338,0.233711078
105,NP_001154164.1,8.06571944,0.031489785,0.709015463,5.154027468,0.266341945,0.574560433
106,NP_001158512.1,11.77374019,0.007145456,1.360369496,99,0.480873221,0.317969407
107,NP_001158513.1,6.612060023,0.012351256,1.729681459,99,0.638670429,0.194723192
108,NP_001158517.1,8.510820036,0.024278723,0.912313249,15.79215977,0.866774156,0.062094046
109,NP_001158519.1,10.12182204,0.141250697,0.670139442,2.651279111,0.056034704,1.251542918
110,NP_001158525.1,7.104552326,0.004097618,0.748575569,99,0.337984846,0.471102771
111,NP_001158534.1,6.959368795,0.031335251,0.810376573,10.17721827,0.645192417,0.190310746
112,NP_001158537.1,10.2786845,0.01114258,0.704983826,4.841139785,0.239149583,0.621330372
113,NP_001158539.1,7.638181562,0.003615517,0.879775456,99,0.355997404,0.448553169
114,NP_001158543.1,8.715349524,0.016031133,1.007332591,22.12888541,0.998428769,0.000682914
115,NP_001158544.1,8.688784991,0.002647867,0.629239933,99,0.325409757,0.487569429
116,NP_001158546.1,5.959397979,0.00091434,0.35114387,99,0.303624004,0.517663897
117,NP_001158588.1,10.37720804,0.003766109,0.816686175,99,0.350585001,0.455206668
118,NP_001158592.1,6.607198841,0.023180355,0.927706443,19.56426353,0.953614896,0.020626974
119,NP_001158614.1,6.203652543,0.072278525,0.840243396,11.50632124,0.71385783,0.146388273
120,NP_001158623.1,6.684197795,0.006104143,1.208902782,99,0.426482487,0.370098798
121,NP_001158625.1,6.380838828,0.052225092,0.811377372,11.45875911,0.699250431,0.155367257
122,NP_001158628.1,12.96719955,0.036818438,0.74572153,7.06898562,0.434498735,0.362011484
123,NP_001158633.1,6.850772195,0.002887107,0.501265015,99,0.31635256,0.499828647
124,NP_001158659.1,8.266928948,0.011081319,1.387486964,99,0.483593836,0.315519243
125,NP_001158680.1,6.635842104,0.047109417,0.943863444,18.21609534,0.926969828,0.032934402
126,NP_001158696.1,11.72708869,0.010356368,1.35359323,99,0.46996052,0.327938624
127,NP_001158702.1,7.898778498,0.012516803,0.756582971,6.963765138,0.438838414,0.357695363
128,NP_001158717.1,6.427582829,0.015574805,1.138397809,34.90345837,0.857559535,0.06673572
129,NP_001158718.1,7.632858054,0.004694481,0.735691799,99,0.338800915,0.470055425
130,NP_001158723.1,7.261217503,0.009161906,1.72199268,99,0.675765005,0.170204302
131,NP_001165326.1,11.88697734,0.090552586,0.696237364,4.245063753,0.185904755,0.730709502
132,NP_001165565.1,7.148983963,0.012681595,0.771493379,7.641566456,0.492132313,0.307918119
133,NP_001165969.1,8.697766888,0.10894673,0.732573596,6.045260404,0.355235287,0.4494839
134,NP_001166000.1,8.364143808,0.014980497,0.976395865,22.70272077,0.988962675,0.004820099
135,NP_001180254.1,7.023081546,0.052246878,1.071738786,31.0616478,0.886787303,0.052180534
136,NP_001182092.1,7.86420278,0.000768861,0.311735352,99,0.301644998,0.520503872
137,NP_001182108.1,8.337442772,0.019005102,1.769943657,99,0.675264333,0.170526189
138,NP_001184139.1,5.892451668,0.007861561,1.520869327,99,0.560178116,0.251673861
139,NP_001184143.1,9.920604614,0.043410466,0.680044285,3.080503492,0.089799588,1.046725656
140,NP_001233254.1,8.294849019,0.01020041,1.264910015,99,0.436142714,0.360371378
141,NP_001233255.1,9.591213831,0.038229948,0.672176062,3.112286842,0.082700874,1.082489901
142,NP_001233263.1,6.304254738,0.118864197,0.71393458,4.911956137,0.255384274,0.592805849
143,NP_001265864.1,8.276251976,0.003371008,0.310254782,99,0.300292107,0.522456083
144,NP_001268237.1,7.893753843,0.001495927,1.551583827,99,0.561802149,0.250416604
145,NP_001268283.1,6.335173785,0.008517457,1.511365324,99,0.533979844,0.272475136
146,NP_001268287.1,6.32331272,0.012065692,1.381595845,99,0.490852932,0.309048611
147,NP_001268298.1,7.579285694,0.01095303,1.510496268,99,0.520676467,0.283432051
148,NP_001268307.1,6.335994584,0.05046102,0.72106403,5.496269631,0.30475658,0.516046909
149,NP_001268311.1,7.92753216,0.006693481,0.739840943,99,0.340494368,0.467890067
150,XP_021411816.1,14.63764172,0.038779205,0.69814051,4.11919251,0.179644023,0.745587228
151,XP_021411827.2,6.269749064,0.004672189,1.437240325,99,0.489972069,0.309828676
152,XP_021411830.1,9.669043066,0.008202404,1.662905254,99,0.629086261,0.2012898
153,XP_021411836.1,7.90544236,0.03908671,0.68600718,3.470028209,0.120784148,0.91799006
154,XP_021411839.1,7.269246555,0.011354769,1.184170131,41.40347234,0.813383095,0.089704858
155,XP_021411843.2,9.741765472,0.005254952,1.20520831,39.41895385,0.830161788,0.080837261
156,XP_021411846.1,8.398671347,0.046283012,0.690526806,3.939428901,0.15747942,0.802776193
157,XP_021411869.2,5.677866417,0.002206122,0.300722236,99,0.301769414,0.52032478
158,XP_021411872.2,6.457071886,0.004727113,1.063036113,99,0.383606053,0.416114549
159,XP_021411905.2,7.35135494,0.009520028,1.418742408,61.24104738,0.745623883,0.12748019
160,XP_021411914.2,8.020821444,0.121225535,0.699443591,4.482756191,0.206646353,0.684772255
161,XP_021411931.1,5.859615764,0.013282355,1.795545633,99,0.685884283,0.163749149
162,XP_021411951.2,5.620662695,0.001494074,0.385152911,99,0.305836366,0.514510875
163,XP_021411960.1,7.610976634,0.062760962,0.6542652,2.012812323,0.018749265,1.727015753
164,XP_021412087.2,9.206068722,0.199936844,0.733469412,6.258106349,0.370290674,0.431457226
165,XP_021412095.1,7.257349431,0.015147206,1.117930616,31.37327062,0.888205948,0.051486323
166,XP_021412096.2,6.680076861,0.002889959,1.571020135,99,0.547524879,0.261596142
167,XP_021412181.2,5.842198459,0.005562451,0.660005007,99,0.330775482,0.480466689
168,XP_021412200.2,9.863913832,0.003831176,0.277269254,99,0.300363522,0.522352812
169,XP_021412202.1,9.404138051,0.073564358,0.701297456,4.011861935,0.176636866,0.752918649
170,XP_021412211.1,6.791657595,0.003293325,1.296700213,99,0.458201378,0.338943609
171,XP_021412241.2,9.780761107,0.043259536,0.780594762,8.185591145,0.529351821,0.276255589
172,XP_021412259.1,8.280481658,0.007640143,1.154610806,35.65596378,0.853071786,0.069014421
173,XP_021412267.1,6.298483615,0.002150348,0.573859634,99,0.323477871,0.490155424
174,XP_021412282.2,8.839787604,0.24503015,0.738125512,6.357636491,0.381730626,0.418242995
175,XP_021412301.2,6.905487427,0.014566621,1.017773348,26.59913127,0.93413613,0.02958983
176,XP_021412302.1,8.26162759,0.146745861,0.657040667,2.284271054,0.029239668,1.534027563
177,XP_021412304.1,6.799998416,0.060494886,0.803605625,10.77260789,0.667227233,0.175726236
178,XP_021412305.2,6.771587851,0.046605488,0.889825382,15.96470836,0.867307694,0.061826801
179,XP_021412337.2,7.36049318,0.016142056,1.501906378,67.84152494,0.734134844,0.134224163
180,XP_021412355.1,10.08742606,0.001407592,0.4221576,99,0.308875097,0.510217105
181,XP_021412356.1,6.006362934,0.007198878,1.299375873,51.45802528,0.77104082,0.112922629
182,XP_021412406.1,8.952434412,0.010440256,0.789931125,99,0.343835811,0.463648893
183,XP_021412409.1,7.346654464,0.00920268,1.420004222,99,0.48105399,0.317806179
184,XP_021412423.1,7.586136246,0.110113218,0.766322853,7.460503912,0.477207953,0.321292327
185,XP_021412424.2,7.161617094,0.234473106,0.668162848,2.65357776,0.054169155,1.266247939
186,XP_021412451.2,8.331769303,0.001485847,0.953040049,99,0.364550173,0.438242691
187,XP_021412461.1,9.403869208,0.001808314,0.752501498,99,0.341807827,0.466217997
188,XP_021412472.2,6.973026554,0.01220541,0.870756566,13.95132735,0.80669876,0.093288611
189,XP_021412486.1,5.685544632,0.013571195,0.866609228,15.19520896,0.842186241,0.074591858
190,XP_021412487.2,7.257274471,0.044756991,0.700006811,4.158495144,0.184819789,0.73325153
191,XP_021412490.1,6.46052092,0.013659747,0.868555644,13.15697584,0.781493787,0.10707447
192,XP_021412494.2,5.898946507,0.003221554,1.137733872,99,0.414199549,0.382790378
193,XP_021412501.2,9.73503649,0.009254882,1.509288239,99,0.549441266,0.260078726
194,XP_021412505.1,6.751609132,0.023534814,0.917677702,17.4105117,0.906537257,0.042614343
195,XP_021412510.1,5.929549447,0.008159192,1.471799577,99,0.497313114,0.303370088
196,XP_021412518.1,8.063567618,0.002296277,1.255752079,99,0.426253423,0.37033212
197,XP_021412523.1,6.873514254,0.006118583,1.616087302,99,0.564537069,0.248307536
198,XP_021412526.1,7.15947745,0.06982389,0.725857894,5.212147107,0.291454813,0.535428768
199,XP_021412529.1,10.17985988,0.013525748,0.754684139,6.856890477,0.430476175,0.36605088
200,XP_021412539.2,6.87720842,0.008635514,1.616045667,99,0.561128943,0.25093733
201,XP_021412543.1,5.83821486,0.076708146,0.704616308,4.170196542,0.191923069,0.71687282
202,XP_021412545.2,6.079371006,0.004793647,1.132184729,99,0.405583418,0.391919809
203,XP_021412553.1,8.320047989,0.023937474,0.981645986,99,0.368943755,0.433039836
204,XP_021412558.2,6.361245196,0.009272982,1.65277543,80.69663281,0.717979403,0.143888014
205,XP_021412560.1,11.5849341,0.005793544,1.462832697,99,0.508817818,0.293437689
206,XP_021412562.2,7.1412433,0.006617877,1.679641729,94.8830938,0.68667083,0.163251401
207,XP_021412563.2,6.687198578,0.096412344,0.712832696,4.577186437,0.230936282,0.63650783
208,XP_021412574.1,7.813709072,0.009387837,0.98097824,22.3014605,0.995558795,0.001933087
209,XP_021412575.2,6.800240409,0.013478932,0.830504413,11.88425733,0.723703463,0.140439349
210,XP_021412576.2,6.294036613,0.053026709,0.8735341,13.32009312,0.788219178,0.103353003
211,XP_021412579.1,6.172596049,0.024249072,1.155976467,99,0.412565055,0.38450756
212,XP_021412583.1,10.51011767,0.004418299,0.538814551,99,0.318356916,0.497085711
213,XP_021412586.2,7.867102065,0.018145055,0.914922769,15.83905253,0.868537156,0.061211598
214,XP_021412589.2,5.78622987,0.005440859,1.790799112,98.12976693,0.696139416,0.157303775
215,XP_021412594.2,5.971764844,0.002791965,0.897164911,99,0.358549822,0.445450489
216,XP_021412596.1,5.725361839,0.016638858,1.579173793,72.56795032,0.730708913,0.136255595
217,XP_021412599.2,9.378480089,0.001572102,1.459821733,99,0.490061727,0.309749214
218,XP_021412600.1,6.254459836,0.045534782,0.902764865,16.70999745,0.888076575,0.051549585
219,XP_021412601.1,8.685618906,0.004828045,1.193127584,40.91391016,0.817921463,0.087288395
220,XP_021412605.2,7.672564701,0.007351363,1.472277863,99,0.496243933,0.30430479
221,XP_021412606.2,5.645043673,0.002766364,0.938856029,99,0.371565455,0.42996467
222,XP_021412609.1,6.827293855,0.005338127,0.615476517,99,0.326405429,0.486242626
223,XP_021412610.1,6.532002357,0.006280602,1.264151146,99,0.428223353,0.368329652
224,XP_021412618.2,8.952978887,0.002419157,0.925423447,99,0.365080404,0.437611478
225,XP_021412625.2,6.419837187,0.016395059,0.928471157,18.8907016,0.939874522,0.026930123
226,XP_021412631.2,7.148231991,0.287046122,0.649484323,1.842466724,0.012113622,1.916725982
227,XP_021412632.2,5.715994711,0.135965239,0.702059946,4.469413221,0.209106469,0.679632531
228,XP_021412636.2,7.266200743,0.007930686,1.760039765,99,0.669758332,0.174081875
229,XP_021412644.1,6.047600208,0.003262228,1.253001634,99,0.436416871,0.360098469
230,XP_021412648.1,11.50989907,0.019398495,0.703073641,4.421032621,0.207032796,0.683960853
231,XP_021412654.2,6.654191593,0.042941168,0.673790957,3.190889111,0.089070241,1.050267373
232,XP_021412656.2,6.86208994,0.020434478,1.27971033,48.94928853,0.78114178,0.107270133
233,XP_021412661.1,7.342506404,0.011007152,1.282533742,45.16660729,0.803116115,0.09522166
234,XP_021412668.1,6.630433476,0.016288981,0.68037635,3.446985044,0.112380269,0.949309933
235,XP_021412669.2,5.89438429,0.001535603,0.730520127,99,0.338709225,0.470172975
236,XP_021412670.1,9.01563616,0.00220899,0.823303194,99,0.347788354,0.458684965
237,XP_021412672.1,6.337448601,0.009436575,1.240114274,99,0.425215495,0.371390918
238,XP_021412675.2,5.957936471,0.362854578,0.636570457,1.207560876,0.001171166,2.931381544
239,XP_021412678.2,8.775432555,0.100042361,0.656496262,2.246031622,0.027500604,1.560657768
240,XP_021412688.1,7.546306875,0.076469521,0.697840075,3.983224556,0.170001936,0.769546133
241,XP_021412693.2,8.16771051,0.019616684,0.979980942,23.26138332,0.98012857,0.008716951
242,XP_021412698.2,8.674906164,0.005071231,1.103303234,28.85052288,0.913462333,0.039309356
243,XP_021412702.2,9.582322894,0.005760909,1.132125138,99,0.408140353,0.389190464
244,XP_021412705.2,7.295806554,0.02456011,0.930412597,18.13871101,0.924061675,0.034299042
245,XP_021412706.2,8.059125397,0.009511599,1.206331538,99,0.41416888,0.382822536
246,XP_021412707.1,7.9468635,0.005765772,1.019854425,99,0.376458813,0.424282531
247,XP_021412715.2,5.157224536,0.132192992,0.693455083,3.927143176,0.160395528,0.794807744
248,XP_021412722.2,6.598076531,0.037947047,0.696740905,4.429844958,0.199599803,0.699839892
249,XP_021412733.1,8.002826543,0.004394904,1.471648372,99,0.502270175,0.29906261
250,XP_021412736.1,5.881511943,0.003828233,1.548405151,81.22417744,0.700582788,0.154540537
251,XP_021412737.1,13.46114662,0.140735819,0.7402472,5.942293937,0.357417965,0.446823622
252,XP_021412738.2,6.51755975,0.090745739,0.754817194,6.810683092,0.427847511,0.36871099
253,XP_021412741.1,6.620714415,0.008127145,1.418533275,99,0.479757962,0.318977809
254,XP_021412742.1,12.47241503,0.005341867,1.453981217,99,0.493513081,0.306701331
255,XP_021412745.2,6.120081807,0.019238899,0.853531815,12.57872898,0.757314732,0.120723595
256,XP_021412750.1,7.800314026,0.004473939,1.099414731,99,0.392423765,0.4062447
257,XP_021412756.2,8.789282618,0.014245215,1.258886865,41.54630342,0.822759131,0.084727289
258,XP_021412760.2,6.464047451,0.037638254,0.747244372,7.411219664,0.45686607,0.340211094
259,XP_021412764.2,5.744068417,0.004329643,1.484997807,99,0.50891405,0.293355559
260,XP_021412766.1,9.310336169,0.001760564,0.935298431,99,0.362486587,0.440708059
261,XP_021412768.2,5.534830649,0.035673957,0.797194131,9.404648591,0.602195207,0.220262705
262,XP_021412770.2,6.185985032,0.00812842,1.175793439,37.51760464,0.840635015,0.075392524
263,XP_021412772.2,6.369107035,0.000665289,0.339105452,99,0.302621802,0.519099787
264,XP_021412773.1,8.395859826,0.018321119,0.724103599,5.501475581,0.30876302,0.51037472
265,XP_021412776.2,6.764450363,0.023680259,1.001567253,21.99830841,0.999462404,0.000233538
266,XP_021412789.2,11.84723275,0.006378361,1.103226564,99,0.391730747,0.407012339
267,XP_021412795.1,5.622618758,0.005036891,1.690366815,99,0.678679821,0.168335063
268,XP_021412801.1,6.910733717,0.00585328,0.891069543,99,0.360950696,0.442552116
269,XP_021412805.2,8.915895902,0.00182527,0.429199271,99,0.31026419,0.508268347
270,XP_021412806.1,6.096339006,0.005199437,1.638692086,99,0.572486898,0.242234448
271,XP_021412809.1,7.294643208,0.003448311,1.420486889,99,0.486908575,0.312552577
272,XP_021412811.2,8.259346639,0.008435375,0.782924932,8.163497758,0.5301766,0.275579444
273,XP_021412814.2,6.04195187,0.003535314,1.104473615,99,0.394333559,0.404136262
274,XP_021412816.2,7.712843017,0.002193917,1.35891944,99,0.483198669,0.315874271
275,XP_021412817.2,7.654270468,0.005194405,1.58723079,99,0.58531162,0.232612854
276,XP_021412820.2,5.834853501,0.007580433,1.671338208,99,0.593133594,0.226847478
277,XP_021412822.2,7.181382742,0.009020028,1.447609925,99,0.510004426,0.292426055
278,XP_021412825.1,6.590028115,0.032119374,0.9782678,21.59347672,0.992617032,0.003218277
279,XP_021412827.2,6.503769582,0.003553463,0.932430172,99,0.361395346,0.442017445
280,XP_021412834.2,5.973997345,0.00144644,0.496953785,99,0.315220739,0.501385217
281,XP_021412840.1,7.821457891,0.009676375,0.796134261,10.31554637,0.643371357,0.191538278
282,XP_021412843.2,6.454220512,0.006824628,1.492436595,99,0.521840369,0.282462327
283,XP_021412844.1,8.43965371,0.0049773,1.501912417,99,0.507313428,0.294723642
284,XP_021412846.1,6.457082612,0.005237668,1.683016492,99,0.676573913,0.169684752
285,XP_021412850.2,10.37043122,0.031300019,0.728740797,5.898233859,0.341086117,0.467135957
286,XP_021412853.2,8.00734437,0.020377503,1.166595508,33.81893919,0.870501188,0.060230632
287,XP_021412856.1,9.767576426,0.002736132,1.592386044,85.65645567,0.695585636,0.157649395
288,XP_021412866.1,6.449199501,0.020897382,0.837670421,12.01259398,0.731341436,0.13587982
289,XP_021412879.1,7.527799452,0.00508944,1.11641765,99,0.393760265,0.404768111
290,XP_021412886.2,5.846883934,0.068420406,0.706978483,4.805202919,0.239063509,0.62148671
291,XP_021412889.2,8.170059704,0.000683839,0.720912408,99,0.335251299,0.474629531
292,XP_021412890.2,7.067975716,0.00730689,1.697007935,99,0.612401722,0.212963597
293,XP_021412891.2,10.09411952,0.021114109,0.843100267,12.59479635,0.754093327,0.122574902
294,XP_021412892.1,8.472161691,0.00252482,1.351040458,99,0.478654231,0.319978098
295,XP_021412898.2,6.076831582,0.003151129,1.276884601,99,0.432514618,0.36399921
296,XP_021412899.2,5.85666266,0.013100033,0.875129812,15.48143693,0.851801314,0.069661694
297,XP_021412900.2,6.34838952,0.008355138,1.539832232,99,0.565624096,0.247472098
298,XP_021412901.1,6.903632181,0.005507724,1.670849346,99,0.667344364,0.175650003
299,XP_021412902.1,7.176415392,0.006835173,1.514973713,99,0.525678926,0.279279433
300,XP_021412904.2,5.952111481,0.004676756,1.439251809,99,0.501566697,0.299671307
301,XP_021412908.1,8.160279835,0.003082518,0.908009554,99,0.361026049,0.442461461
302,XP_021412911.2,7.16897408,0.036708401,0.828091152,10.85312014,0.682911199,0.165635765
303,XP_021412913.1,5.991598765,0.003569803,0.853879231,99,0.350854381,0.454873096
304,XP_021412914.1,6.144446817,0.012131673,0.992320179,24.18547111,0.966374016,0.014854756
305,XP_021412920.2,7.683507032,0.032049474,1.077503921,27.08527066,0.931969866,0.03059813
306,XP_021412934.2,8.261895633,0.034627311,0.798493511,10.4090126,0.648802107,0.187887748
307,XP_021412935.2,8.487876286,0.004100251,0.90817643,99,0.357624821,0.446572347
308,XP_021412937.2,7.323096108,0.044248941,0.711616433,4.773113334,0.242753998,0.614833609
309,XP_021412938.2,8.248705169,0.009757253,1.208365405,40.60333417,0.82214195,0.085053191
310,XP_021412944.1,8.070747913,0.104558455,0.72846703,5.385778129,0.306447504,0.513643912
