Protein,Desert_1,Cold_Montane_1,Cool_Montane_1,Desert_2,Cold_Montane_2,Desert_3,Cool_Montane_2,Cool_Montane_3,Desert_4,Cold_Montane_3,Desert_5,Cool_Montane_4,Desert_6,Desert_7,Cold_Montane_4,Desert_8,Cool_Montane_5,Cool_Montane_6,Desert_15,Cold_Montane_5,Desert_9,Cool_Montane_7,Cool_Montane_8,Desert_10,Cool_Montane_9,Cold_Montane_6,Cool_Montane_10,Desert_11,Cold_Montane_10,Cold_Montane_7,Cold_Montane_8,Cool_Montane_11,Desert_12,Cold_Montane_9,Cold_Montane_14,Cool_Montane_12,Desert_13,Cold_Montane_11,Cold_Montane_12,Cool_Montane_13,Desert_14,Cold_Montane_13
XP_021414869.2,9.741497531,8.689427225,9.249904448,9.332085748,9.227742726,10.1247248,8.804033237,9.211782804,9.933266768,8.196581381,9.682273477,8.089694544,9.593273087,9.659623577,9.317090695,9.865160939,7.663222145,9.383213638,10.18867619,9.49576555,9.730194506,6.940075191,9.221443302,9.585891145,8.265137717,9.306956102,7.892484324,10.1773419,8.390325587,9.438752624,9.646179076,8.342112308,9.525523037,8.981759284,9.647762635,8.795913043,10.73435854,8.354410069,9.013441901,9.831026091,10.14945207,8.483229088
XP_021415677.2,5.78962755,5.476379135,5.939320407,5.818384234,5.518154851,6.68825158,4.891994922,5.654082276,5.886622636,5.571394044,5.619421417,5.638085178,5.654527006,6.406657952,5.448251997,6.103598006,5.406667182,5.598231177,5.721919053,5.413484959,5.906610427,4.891994922,5.612599397,6.377612964,5.437307058,6.07542913,5.307122317,5.790419518,5.851563025,5.918029348,5.359479965,5.64041623,6.173582205,5.434344379,5.244318622,4.891994922,6.043433561,4.891994922,4.891994922,5.941314744,6.101495712,5.267205765
XP_021415862.1,11.10739231,10.63913752,10.70622173,10.47200201,10.57604533,11.79838327,10.64992498,10.98033078,10.98371897,10.20305331,11.33271379,10.29369957,11.01612052,11.21715473,11.25853815,11.09876848,10.41586054,11.0366988,11.39509764,11.22966632,11.09219511,9.776764359,10.53065158,10.99270873,10.2550489,10.99197484,10.4681334,11.20014626,10.67658021,10.86917501,11.15789626,10.51148292,10.705704,11.0864194,11.05875396,10.3419896,11.52470815,10.28168649,10.56981305,11.30964615,11.27821769,10.42476747
XP_021416830.1,9.461578766,8.767081034,9.38683074,9.790524097,9.027036791,9.48098057,8.880074092,9.077452195,9.073657199,8.791375008,9.068019655,9.416362375,8.870947267,9.333819744,9.150810744,9.275989183,9.626155868,9.370588234,9.621993913,8.587122677,9.701627896,9.729506376,9.31962193,9.368594478,9.052587476,8.812954237,9.368090497,10.00240758,8.184110793,9.102130604,9.065491115,8.752916923,9.486864018,8.523521461,9.239050702,9.040433462,9.770563475,8.749981952,9.003199637,9.114421751,9.215672563,8.674732605
XP_021416892.1,8.113653068,7.915450686,8.283409034,8.031781048,7.663596628,8.800783278,8.178227715,7.78621157,8.037190437,7.461322969,8.123319505,7.795943704,8.13006678,8.024596439,8.343456813,8.238745563,7.799781121,7.743005787,8.521800454,8.005363114,8.307046263,6.526253255,7.927551568,8.057691723,7.218988856,8.372195107,7.623879282,8.361458663,7.945927295,8.403832471,8.487223755,7.413007918,8.220212431,8.056569007,8.060519236,6.939535907,8.611869685,7.997168355,8.19584995,8.231612969,8.204122717,7.9100145
XP_021417045.2,10.00605357,10.75749653,10.5082478,10.51306379,11.34356853,9.796698179,10.76854921,10.53299632,10.43398931,11.03709723,10.37708907,10.91556269,10.4125319,10.50557044,10.42508009,10.76886188,10.80896047,10.57460439,10.51746966,10.4185653,10.21138643,10.61600545,10.7284234,10.63976307,10.85337776,10.45915509,10.74807914,10.28598178,10.6421282,10.75174524,10.61219975,11.00591722,10.52423871,10.62170475,10.70359101,10.70035978,9.834272512,11.08023047,10.92659492,10.22673432,9.981059286,11.15970118
XP_021417981.1,6.991360974,6.321331493,6.470451876,6.375898377,6.480261569,7.793998746,6.519796462,6.007541793,6.733831418,5.674152372,6.639388588,6.193173,6.599719528,6.905831695,6.566381636,6.976430053,6.64724922,6.182969045,7.124583161,6.539947645,6.433610226,4.891994922,6.292580039,6.862664449,6.055753042,6.748420195,6.383331195,6.957701804,6.426991896,6.149289515,6.301393194,6.398150051,6.825905654,5.497483268,6.516931264,6.449159442,7.2364987,6.022024886,6.418048363,6.52105942,6.886204334,5.761217455
XP_021419099.1,14.03990589,13.62956311,14.19099985,14.5273238,13.18291487,14.49666356,14.51603299,13.99485323,14.553324,13.07796638,14.41905596,13.77986645,14.20998639,14.80305398,13.55791383,14.35703196,13.4037021,13.86034588,14.34694422,14.2596152,14.970324,13.5459871,14.05193762,14.84087824,14.05996132,13.61136244,13.35613337,14.47042706,12.25692266,14.1082001,14.1217125,14.06556802,14.02920951,13.80250785,13.81061385,14.07903799,14.49235193,14.04112291,14.14744391,13.85085875,13.92188027,13.48856848
XP_021419113.1,8.569579818,8.319055754,9.351091686,8.418846406,8.355402101,9.889037521,8.088846794,8.738185686,8.561342728,8.213146769,8.879443292,8.181579708,8.135582961,8.659038345,8.195916376,9.314312322,9.005737452,8.556173221,9.061542472,7.184779504,9.57755879,8.521887724,8.570653217,8.409650837,9.696891655,7.823380877,8.792980603,8.81754278,7.537575231,7.659961817,7.629569231,7.971997282,8.46298273,7.808775498,7.663518609,8.549961509,8.379218784,8.228730316,7.675720662,8.562681461,7.318807121,7.30205818
XP_021421807.1,10.05198192,9.449498831,9.562700492,9.625884806,9.299036467,10.43347834,9.378941204,9.837398991,9.784022882,9.004967272,10.12138161,9.193882384,9.743903298,9.855468922,9.648137784,9.538529236,9.063697915,9.471574158,9.898113288,9.655361425,9.974177797,9.070775148,9.447545176,9.854784437,9.929254173,9.664892926,9.204817323,9.606735839,9.229167309,9.639365525,9.678419098,9.531485489,9.950580083,9.423056009,9.343747887,9.084367974,10.06221185,9.212991416,9.74203934,9.850412717,10.09717035,9.202286654
XP_021421954.1,9.07593981,8.484560314,8.663212149,8.938323141,8.622973554,9.5258283,8.938125537,8.926703413,8.992551238,8.873093793,9.065418827,8.682307632,8.80028216,9.068018325,8.946399401,9.052287123,8.516947871,8.90466422,9.116879757,8.831395433,8.868193315,7.986146759,8.691388847,8.88266338,8.396062507,8.910055137,8.652886987,9.190837571,8.911947425,8.939275687,9.044095622,8.712696797,8.779766892,8.666856216,8.907519961,8.310891974,9.092836223,8.541925872,8.793232667,9.068163657,8.90324607,8.921037929
XP_021423445.1,8.049677424,7.90341289,8.005755032,8.006585144,7.518511201,7.72299443,7.899478408,7.441907023,8.476408351,7.516697425,7.881814404,6.915614492,8.414491634,7.936250023,8.486168761,8.271815582,7.02535349,7.634180949,8.481327233,8.491476287,7.609087287,6.248350499,7.639125086,8.224436808,7.535771722,8.419952292,7.029108515,8.280292007,8.102084041,8.568694298,8.237315472,6.954208891,7.968121132,8.441626208,8.377536657,7.350796584,8.159065893,7.931100852,7.649204046,8.554783487,8.318223722,7.8599196
XP_021423746.2,8.881964864,8.657853203,8.82348853,9.002839144,9.329148064,8.824118203,9.297473938,9.280437229,8.930236652,8.80954138,9.098867118,9.399083142,8.793366437,9.100549446,8.636376074,9.249860226,9.395687939,8.797672987,9.405040483,8.434966995,9.092938819,10.1259523,8.840140849,9.038457289,9.41055217,8.526837692,9.704534746,9.229553469,8.615173004,8.748474433,8.638084967,9.704964989,9.199702153,8.722574742,8.500465672,9.285873547,8.752602634,9.071606802,9.213183039,8.722696607,9.088549538,8.977241862
